gene_name	module_nr	module_type	module_subtype	module_substrate	nr_iterations	domain_type	domain_subtype	domain_name	domain_used	domain_active
elaJ	0	PKS	PKS_TRANS	**Unknown**	1	PP-binding	None	None	True	True
elaJ	1	PKS	PKS_TRANS	**Unknown**	1	KS	ARST	None	True	True
elaJ	1	PKS	PKS_TRANS	**Unknown**	1	Trans-AT_docking	None	None	True	True
elaJ	1	PKS	PKS_TRANS	**Unknown**	1	PKS_DH2	None	None	True	True
elaJ	1	PKS	PKS_TRANS	**Unknown**	1	KR	None	None	True	True
elaJ	1	PKS	PKS_TRANS	**Unknown**	1	PP-binding	None	None	True	True
elaJ	2	PKS	PKS_TRANS	**Unknown**	1	KS	DB	None	True	True
elaJ	2	PKS	PKS_TRANS	**Unknown**	1	Trans-AT_docking	None	None	True	True
elaK	2	PKS	PKS_TRANS	**Unknown**	1	KR	C2	None	False	False
elaK	2	PKS	PKS_TRANS	**Unknown**	1	MT	None	None	True	True
elaK	2	PKS	PKS_TRANS	**Unknown**	1	ACP	None	None	True	True
elaK	3	PKS	PKS_TRANS	**Unknown**	1	KS	ALPHAME_BETAOH	None	True	True
elaK	3	PKS	PKS_TRANS	**Unknown**	1	Trans-AT_docking	None	None	True	True
elaK	3	PKS	PKS_TRANS	**Unknown**	1	PKS_DH2	None	None	True	True
elaK	3	PKS	PKS_TRANS	**Unknown**	1	KR	C2	None	False	False
elaK	3	PKS	PKS_TRANS	**Unknown**	1	ACP	None	None	True	True
elaK	4	PKS	PKS_TRANS	**Unknown**	1	KS	ALPHAME	None	True	True
elaK	4	PKS	PKS_TRANS	**Unknown**	1	Trans-AT_docking	None	None	True	True
elaK	4	PKS	PKS_TRANS	**Unknown**	1	PKS_DH2	None	None	True	True
elaK	4	PKS	PKS_TRANS	**Unknown**	1	KR	None	None	True	True
elaK	4	PKS	PKS_TRANS	**Unknown**	1	ACP	None	None	True	True
elaK	5	PKS	PKS_TRANS	**Unknown**	1	KS	EDB	None	True	True
elaK	5	PKS	PKS_TRANS	**Unknown**	1	Trans-AT_docking	None	None	True	True
elaK	5	PKS	PKS_TRANS	**Unknown**	1	ACP_beta	None	None	True	True
elaO	6	PKS	PKS_TRANS	**Unknown**	1	KS	BETAME	None	True	True
elaO	6	PKS	PKS_TRANS	**Unknown**	1	Trans-AT_docking	None	None	True	True
elaO	6	PKS	PKS_TRANS	**Unknown**	1	KR	None	None	True	True
elaO	6	PKS	PKS_TRANS	**Unknown**	1	PP-binding	None	None	True	True
elaO	7	PKS	PKS_TRANS	**Unknown**	1	KS	BETA_OH	None	True	True
elaP	7	PKS	PKS_TRANS	**Unknown**	1	PKS_DH2	None	None	True	True
elaP	7	PKS	PKS_TRANS	**Unknown**	1	ACP	None	None	True	True
elaP	7	PKS	PKS_TRANS	**Unknown**	1	KR	None	None	True	True
elaP	8	PKS	PKS_TRANS	**Unknown**	1	KS	DB	None	True	True
elaP	8	PKS	PKS_TRANS	**Unknown**	1	PP-binding	None	None	True	True
elaP	8	PKS	PKS_TRANS	**Unknown**	1	Trans-AT_docking	None	None	True	True
elaP	8	PKS	PKS_TRANS	**Unknown**	1	KR	None	None	True	True
elaP	9	PKS	PKS_TRANS	**Unknown**	1	KS	NON_ELONGATING_DB	None	True	True
elaP	9	PKS	PKS_TRANS	**Unknown**	1	Trans-AT_docking	None	None	True	True
elaP	9	PKS	PKS_TRANS	**Unknown**	1	PKS_DH2	None	None	True	True
elaP	9	PKS	PKS_TRANS	**Unknown**	1	ACP	None	None	True	True
elaP	10	PKS	PKS_TRANS	**Unknown**	1	KS	MISCELLANEOUS	None	True	True
elaP	10	PKS	PKS_TRANS	**Unknown**	1	Trans-AT_docking	None	None	True	True
elaP	10	PKS	PKS_TRANS	**Unknown**	1	PKS_DH2	None	None	True	True
elaP	10	PKS	PKS_TRANS	**Unknown**	1	KR	C2	None	False	False
elaQ	10	PKS	PKS_TRANS	**Unknown**	1	MT	None	None	True	True
elaQ	10	PKS	PKS_TRANS	**Unknown**	1	ACP	None	None	True	True
elaQ	11	PKS	PKS_TRANS	**Unknown**	1	KS	ALPHAME_BETAOH	None	True	True
elaQ	11	PKS	PKS_TRANS	**Unknown**	1	Trans-AT_docking	None	None	True	True
elaQ	11	PKS	PKS_TRANS	**Unknown**	1	KR	None	None	True	True
elaQ	11	PKS	PKS_TRANS	**Unknown**	1	ACP	None	None	True	True
elaQ	12	PKS	PKS_TRANS	**Unknown**	1	KS	BETA_L_OH	None	True	True
elaQ	12	PKS	PKS_TRANS	**Unknown**	1	Trans-AT_docking	None	None	True	True
elaQ	12	PKS	PKS_TRANS	**Unknown**	1	PKS_DH2	None	None	True	True
elaQ	12	PKS	PKS_TRANS	**Unknown**	1	KR	C2	None	False	False
elaQ	12	PKS	PKS_TRANS	**Unknown**	1	MT	None	None	True	True
elaQ	12	PKS	PKS_TRANS	**Unknown**	1	ACP	None	None	True	True
elaQ	13	PKS	PKS_TRANS	**Unknown**	1	KS	ALPHAME_DB	None	True	True
elaQ	13	PKS	PKS_TRANS	**Unknown**	1	Trans-AT_docking	None	None	True	True
elaR	13	PKS	PKS_TRANS	**Unknown**	1	PKS_DH2	None	None	True	True
elaR	13	PKS	PKS_TRANS	**Unknown**	1	KR	None	None	True	True
elaR	13	PKS	PKS_TRANS	**Unknown**	1	ACP	None	None	True	True
elaR	14	PKS	PKS_TRANS	**Unknown**	1	KS	NON_ELONGATING_DB	None	True	True
elaR	14	PKS	PKS_TRANS	**Unknown**	1	Trans-AT_docking	None	None	True	True
elaR	14	PKS	PKS_TRANS	**Unknown**	1	PP-binding	None	None	True	True
elaR	14	PKS	PKS_TRANS	**Unknown**	1	TE	None	None	True	True
