gene_name	module_nr	module_type	module_subtype	module_substrate	nr_iterations	domain_type	domain_subtype	domain_name	domain_used	domain_active
tarD	0	PKS	PKS_TRANS	**Unknown**	1	KS	LACST	None	True	True
tarD	0	PKS	PKS_TRANS	**Unknown**	1	Trans-AT_docking	None	None	True	True
tarD	0	PKS	PKS_TRANS	**Unknown**	1	PKS_DH2	None	None	True	True
tarD	0	PKS	PKS_TRANS	**Unknown**	1	KR	None	None	True	True
tarD	0	PKS	PKS_TRANS	**Unknown**	1	ACP	None	None	True	True
tarD	1	PKS	PKS_TRANS	**Unknown**	1	KS	RED	None	True	True
tarD	1	PKS	PKS_TRANS	**Unknown**	1	PKS_DHt	None	None	True	True
tarD	1	PKS	PKS_TRANS	**Unknown**	1	KR	None	None	True	True
tarD	1	PKS	PKS_TRANS	**Unknown**	1	CP	None	None	True	True
tarD	2	PKS	PKS_TRANS	**Unknown**	1	KS	DB	None	True	True
tarE	2	PKS	PKS_TRANS	**Unknown**	1	PKS_DH2	None	None	True	True
tarE	2	PKS	PKS_TRANS	**Unknown**	1	ACP	None	None	True	True
tarE	3	PKS	PKS_TRANS	**Unknown**	1	KS	DB	None	True	True
tarE	3	PKS	PKS_TRANS	**Unknown**	1	PKS_DHt	None	None	True	True
tarE	3	PKS	PKS_TRANS	**Unknown**	1	PKS_DH2	None	None	True	True
tarE	3	PKS	PKS_TRANS	**Unknown**	1	KR	None	None	True	True
tarE	3	PKS	PKS_TRANS	**Unknown**	1	CP	None	None	True	True
tarE	4	PKS	PKS_TRANS	**Unknown**	1	KS	RED	None	True	True
tarE	4	PKS	PKS_TRANS	**Unknown**	1	ACP	None	None	True	True
tarE	5	PKS	PKS_TRANS	**Unknown**	1	KS	None	None	True	True
tarE	5	PKS	PKS_TRANS	**Unknown**	1	KR	None	None	True	True
tarE	5	PKS	PKS_TRANS	**Unknown**	1	CP	None	None	True	True
tarE	6	PKS	PKS_TRANS	**Unknown**	1	KS	BETA_D_OH	None	True	True
tarE	6	PKS	PKS_TRANS	**Unknown**	1	ACP	None	None	True	True
tarE	7	PKS	PKS_TRANS	**Unknown**	1	KS	KETO	None	True	True
tarF	7	PKS	PKS_TRANS	**Unknown**	1	KR	None	None	True	True
tarF	7	PKS	PKS_TRANS	**Unknown**	1	ACP	None	None	True	True
tarF	8	PKS	PKS_TRANS	**Unknown**	1	KS	BETA_L_OH	None	True	True
tarF	8	PKS	PKS_TRANS	**Unknown**	1	PKS_DHt	None	None	True	True
tarF	8	PKS	PKS_TRANS	**Unknown**	1	PKS_DH2	None	None	True	True
tarF	8	PKS	PKS_TRANS	**Unknown**	1	KR	C2	None	False	False
tarF	8	PKS	PKS_TRANS	**Unknown**	1	MT	None	None	True	True
tarF	8	PKS	PKS_TRANS	**Unknown**	1	CP	None	None	True	True
tarF	9	PKS	PKS_TRANS	**Unknown**	1	KS	ALPHAME	None	True	True
tarF	9	PKS	PKS_TRANS	**Unknown**	1	PKS_DHt	None	None	True	True
tarF	9	PKS	PKS_TRANS	**Unknown**	1	CP	None	None	True	True
tarF	10	PKS	PKS_TRANS	**Unknown**	1	KS	KETO	None	True	True
tarF	10	PKS	PKS_TRANS	**Unknown**	1	Trans-AT_docking	None	None	True	True
tarF	10	PKS	PKS_TRANS	**Unknown**	1	CP	None	None	True	True
